
Consulta: 1. Consultar escolas com mais de uma fonte de água
('CENTRO EDUCACIONAL MONTEIRO LOBATO', 15)
('COLEGIO EDUCAR', 15)
('E M E F SAO RAIMUNDO', 15)
('ESCOLA MUNICIPAL MARIA QUITERIA', 15)
('ESCOLA ANTONIO CARLOS MAGALHAES', 15)
('ESCOLA NOSSA SENHORA DAS GRACAS', 15)
('ESCOLA MUNICIPAL CASTELO BRANCO', 14)
('ESCOLA MUNDO ENCANTADO', 14)
('ESCOLA MUNICIPAL CHAPEUZINHO VERMELHO', 14)
('CRECHE MENINO JESUS', 14)
('ESCOLA MUNICIPAL SAO BENEDITO', 14)
('ESCOLA MUNICIPAL SANTOS DUMONT', 14)
('ESCOLA MUNICIPAL SAGRADO CORACAO DE JESUS', 14)
('ESCOLA MUNICIPAL JORGE AMADO', 14)
('ESCOLA MUNICIPAL CRISTO REI', 14)
('ESCOLA PASSO A PASSO', 14)
('COLEGIO MONTEIRO LOBATO', 14)
('JI PEQUENO PRINCIPE', 14)
('ESCOLA PEQUENO APRENDIZ', 14)
('EE DE ENSINO FUNDAMENTAL E MEDIO', 14)
('ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS', 14)
('EMEI RAIO DE SOL', 14)
('EMEI PRIMEIROS PASSOS', 14)
('ESC SAO FRANCISCO', 14)
('ESC SAO SEBASTIAO', 14)
('ESCOLA MUNICIPAL LUIS EDUARDO MAGALHAES', 14)
('EMEF CASTRO ALVES', 14)
('ESCOLA CECILIA MEIRELES', 14)
('E M E F SANTA LUZIA', 14)
('ESCOLA MUNICIPAL SAO JUDAS TADEU', 14)
('ESCOLA MUNICIPAL MACHADO DE ASSIS', 13)
('ESCOLA MUNICIPAL BOM JESUS', 13)
('ESCOLA MUNICIPAL JOSE DE ANCHIETA', 13)
('COLEGIO IMPACTO', 13)
('ESCOLA MUNICIPAL SANTA HELENA', 13)
('JI CHAPEUZINHO VERMELHO', 13)
('ESCOLA MUNICIPAL SANTA CRUZ', 13)
('ESCOLA MUNICIPAL SENHOR DO BONFIM', 13)
('ESCOLA SANTA RITA DE CASSIA', 13)
('CENTRO MUNICIPAL DE EDUCACAO INFANTIL CRIANCA FELIZ', 13)
('ESCOLA MUNICIPAL BELA VISTA', 13)
('EM HUMBERTO DE CAMPOS', 13)
('EM DUQUE DE CAXIAS', 13)
('ESCOLA MUNICIPAL PRESIDENTE TANCREDO NEVES', 13)
('EE 13 DE MAIO', 13)
('ESCOLA CASTRO ALVES', 13)
('ESCOLA MUNICIPAL CRIANCA FELIZ', 13)
('COLEGIO DINAMICO', 13)
('CEI CRIANCA FELIZ', 13)
('ESCOLA MUNICIPAL ANA NERY', 13)
('EMEF NOSSA SENHORA DE FATIMA', 13)
('EMEI PEQUENO PRINCIPE', 13)
('ESCOLA MUNICIPAL JOANA ANGELICA', 13)
('EMEF SAO FRANCISCO', 13)
('ESCOLA MUNICIPAL PEQUENO PRINCIPE', 13)
('EMEI MUNDO ENCANTADO', 13)
('ESCOLA NOVA GERACAO', 13)
('CENTRO EDUCACIONAL ARCO IRIS', 13)
('ESCOLA MUNICIPAL PRESIDENTE COSTA E SILVA', 13)
('EMEF MACHADO DE ASSIS', 13)
('COLEGIO CRISTO REI', 13)
('EE RUI BARBOSA', 13)
('ARCO IRIS C M E I', 12)
('ESCOLA MUNICIPAL OSVALDO CRUZ', 12)
('ESCOLA CRIATIVA', 12)
('E M E F SAO JORGE', 12)
('ESCOLA SONHO DE CRIANCA', 12)
('ESCOLA MUNICIPAL SAO LUIZ', 12)
('EM DOM PEDRO II', 12)
('EM SAO BENEDITO', 12)
('ESCOLA MUNICIPAL CECILIA MEIRELES', 12)
('ESCOLA MUNICIPAL SAO ROQUE', 12)
('ESC BOM JESUS', 12)
('CENTRO EDUCACIONAL PAULO FREIRE', 12)
('E M E F SANTA MARIA', 12)
('EM SAO JOAO', 12)
('ESCOLA SANTA RITA', 12)
('COLEGIO SANTA CLARA', 12)
('ESCOLA MUNICIPAL DARCY RIBEIRO', 12)
('E M E F NSRA APARECIDA', 12)
('PEM BRANCA DE NEVE', 12)
('EM SANTA LUZIA', 12)
('CENTRO EDUCACIONAL GENESIS', 12)
('EMEF NOSSA SENHORA APARECIDA', 12)
('EMEI GENTE MIUDA', 12)
('EMEF DOM PEDRO II', 12)
('ESCOLA MUNICIPAL DIVINO ESPIRITO SANTO', 12)
('ESCOLA MUNICIPAL SANTA ROSA', 12)
('EMEF RUI BARBOSA', 12)
('EMEF OLAVO BILAC', 12)
('ESCOLA MUNICIPAL SANTA RITA DE CASSIA', 12)
('ESCOLA SANTA MARIA', 12)
('ESCOLA MUNICIPAL ZUMBI DOS PALMARES', 11)
('EMEF GETULIO VARGAS', 11)
('ESCOLA MUNICIPAL CORA CORALINA', 11)
('COLEGIO FENIX', 11)
('COLEGIO GENESIS', 11)
('E M E F NSRA DE NAZARE', 11)
('EMEF SANTA MARIA', 11)
('E M E I F SAO PEDRO', 11)
('ESCOLA SANTA LUZIA', 11)
('CMEI CRIANCA FELIZ', 11)
('CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO', 11)
('EMEF TIRADENTES', 11)
('EM GETULIO VARGAS', 11)
('ESCOLA AQUARELA', 11)
('EMEI MONTEIRO LOBATO', 11)
('EE SAO SEBASTIAO', 11)
('EMEI ARCO-IRIS', 11)
('CENTRO EDUCACIONAL PEQUENO APRENDIZ', 11)
('EM JOSE DE ALENCAR', 11)
('ESCOLA TURMA DA MONICA', 11)
('ESC MUN INDIGENA AI WATURA', 11)
('EM NOSSA SENHORA APARECIDA', 11)
('ESCOLA PRIMEIROS PASSOS', 11)
('EMEF BOM JESUS', 11)
('COLEGIO PH', 11)
('ESCOLA NOSSA SENHORA DO CARMO', 11)
('EM SAO FRANCISCO DE ASSIS', 11)
('CEI PEQUENO PRINCIPE', 11)
('E M E F NOSSA SENHORA DE NAZARE', 11)
('ESCOLA BALAO MAGICO', 11)
('E M E F STO ANTONIO', 11)
('ESCOLA MUNICIPAL DOM HELDER CAMARA', 11)
('EM STA LUZIA', 11)
('COLEGIO EVOLUCAO', 11)
('MONTEIRO LOBATO E M EF', 11)
('ESCOLA MUNICIPAL IRMA DULCE', 11)
('ESCOLA BEM ME QUER', 11)
('ESCOLA NOSSA SENHORA DE FATIMA', 11)
('EE SANTO ANTONIO', 11)
('EMEF SAO JOAO', 11)
('ESCOLA SONHO MEU', 11)
('E M E I F SANTA MARIA', 11)
('EMEF SAO PEDRO', 10)
('EM CASTELO BRANCO', 10)
('PINGO DE GENTE EMEI', 10)
('COLEGIO JESUS MARIA JOSE', 10)
('INSTITUTO TECNOLOGICO ASSESSORITEC', 10)
('COLEGIO SANTA CATARINA', 10)
('EM NSA SRA DA CONCEICAO', 10)
('EMEF ERICO VERISSIMO', 10)
('ESC SANTA LUZIA', 10)
('PRIMEIROS PASSOS C M E I', 10)
